"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "HTML", "SCSS", "TypeScript JSX", "JavaScript", "Python", "XML", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\endpoints\utils\EndpointUtils.ts", "TypeScript", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 152
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\main\index.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\sql\DBConnection.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\sql\DishManager.ts", "TypeScript", 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41, 291
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\sql\ShareManager.ts", "TypeScript", 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 413
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\sql\Users.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 81
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\utils\Utils.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 79
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\tsconfig.json", "JSON with Comments", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\Api.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 102
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\Flavors.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
