"filename", "language", "Markdown", "HTML", "TypeScript", "XML", "JSON", "TypeScript JSX", "SCSS", "JSON with Comments", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\hooks\TutorialStepHook.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\CurrentInterPlayerDragContext.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\CurrentlyPlayingContext.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\SynthLinesContext.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\serverCommunication\ServerCommunication.ts", "TypeScript", 0, 0, 258, 0, 0, 0, 0, 0, 0, 44, 302
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\Network.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\Statics.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\UserUtils.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\test.html", "HTML", 0, 75, 0, 0, 0, 0, 0, 0, 0, 17, 92
"Total", "-", 344, 81, 1958, 1, 2813, 77, 133, 25, 86, 460, 5978
