"filename", "language", "Markdown", "JSON with Comments", "HTML", "TypeScript", "JSON", "JavaScript", "Python", "SCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\downloadImageSizes.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\downloadSizes.json", "JSON", 0, 0, 0, 0, 542, 0, 0, 0, 0, 0, 0, 0, 542
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\flavorColors.json", "JSON", 0, 0, 0, 0, 659, 0, 0, 0, 0, 0, 0, 0, 659
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\flavorImages.json", "JSON", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 75
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\generative-music__samples-alex-bainter.d.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\mainFlavorColors.json", "JSON", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\mainFlavorImages.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\Images.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\app\App.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 17, 37, 199
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\app\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 541, 0, 19, 93, 653
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\app\types.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\FlavorMusic.ts", "TypeScript", 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 26, 61, 318
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\Flavors.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 6, 8, 74
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Bitter.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 3, 29, 119
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Salty.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 3, 30, 126
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Savory.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 3, 31, 123
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Sour.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 3, 30, 119
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Spicy.ts", "TypeScript", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 30, 122
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Sweet.ts", "TypeScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 4, 32, 132
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\FlavorUtils.ts", "TypeScript", 0, 0, 0, 295, 0, 0, 0, 0, 0, 0, 30, 87, 412
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\MainFlavorSelectionDialog\MainFlavorSelectionDialog.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 1, 24, 153
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\MainFlavorSelectionDialog\MainFlavorSelectionDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 6, 43
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\ResourceSaver.ts", "TypeScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 24, 96
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\cssImageLoader\CssImageLoader.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 21, 128
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\currentMainTheme\CurrentMainThemeSelector.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 1, 21, 108
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\currentMainTheme\CurrentMainThemeSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dialogs\ConfirmDialog.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dialogs\ConfirmDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 8, 75
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dialogs\ConfirmDialogContext.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishList\DishList.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 352, 0, 0, 114, 81, 547
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishList\DishList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 351, 0, 26, 88, 465
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishList\DishListItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 14, 155
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishManager\DishManager.ts", "TypeScript", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 16, 147
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\download\Download.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 36, 15, 141
